year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,65.41027710350791,44.42364464367589,42.61454606012846,64.56216615867095,0.0156868255619812,0.0002667692024661,0.0017975115702035,0.0100704782783967,28.36985230237157,-33.99711457756914,-8.285517413537526,18.540952633399232,1.4164173441106136,22.69050914113935,13.242541200767937,4.033945666851705,-0.0594740733696739,-0.0530766488991067,-0.0589446370942465,-0.0295500689477075,1.827523514484216,2.4610894565991983,-0.0399344258200098,1.8698337847369613,522.6497833588191,93842.67604001977,56860.96454397233,14438.122897974308,0
1941,58.42097662994071,36.88035413255928,35.227982354372536,62.43484738846344,0.0148769489441452,0.0001935476332427,0.0014271619214355,0.010241430063661,29.568983633893303,-34.006771657608674,-8.782564881422903,19.244850333498047,1.7796108879759387,24.61389323397085,12.127286561265636,3.846159213583844,-0.0688153689308325,-0.0707856901702123,-0.0249941048530203,-0.0380484595884767,1.856348784581944,3.775990298934041,0.1831407813767292,2.395081999374123,550.0698928916872,93843.44071146243,56927.08813735178,14510.524598320158,0
1942,50.00884265242095,33.39892416784239,29.260886175511363,59.073128279644266,0.0134893855377223,0.0002125860515938,0.001312717916641,0.0099543364933794,30.85271339920951,-33.600959651679815,-7.972807477766776,19.742813078063264,2.1311720147563737,20.004914988994045,10.049003544982954,3.6868761111265314,-0.0859985803774827,-0.0145226071499713,0.0192722894866284,-0.0051717126397287,2.045479998051334,2.7797762059780387,-0.1794181796943626,2.0009765486987523,475.7544467898469,93967.05302371542,56983.15472875494,14473.305996294466,3
1943,56.19487746380929,38.30244781458745,34.69518332578063,63.51310223087945,0.0141359340456521,0.0002017215795743,0.0014004991607104,0.0098535912219614,29.152391331521763,-34.81186931818179,-8.312175558300371,18.37222927371544,1.7900416852232313,14.05719583571628,8.151144683157181,3.208157975956596,-0.0713401594992433,0.0070373645720466,0.0248760667112919,-0.0068024195009974,2.0898188271024085,2.7526379478927865,-1.0411248646062796,2.421974271770662,505.0781737375988,93757.72677865611,56841.115940217394,14428.980859189724,0
1944,48.41169102791502,39.03794115541008,29.80754164262599,60.270767234066206,0.012953944869244,0.0001907720198985,0.0012088849796847,0.0097664899587697,30.667839743083025,-34.55126590167982,-8.118956625494048,19.10958797430832,2.069697324036571,19.87549693107987,11.303209573706916,3.4568724039066105,-0.0722782489757658,0.0001107045209656,-0.002885201281555,-0.0265164461202495,1.8654315329270397,1.8383606300293207,-0.2931644153548295,2.059505508202224,565.6440776086216,93951.88412796444,56976.913221837945,14542.7209229249,0
1945,45.84241525353261,25.0492683892542,24.609218758456027,56.79255790165514,0.0126088407111907,0.0001292415005885,0.0009464392814466,0.0093574422181324,30.994163142292518,-33.773988458498,-8.260034730731203,19.4036173171937,2.2261574019129644,18.43033755094573,10.928548858975914,3.36717364141476,-0.0831898492978206,0.0306968895362598,0.0541880131495825,0.0236403423590311,1.6929507204375742,3.733477000622036,-0.9814200016986512,1.4910170961196418,516.2026465083127,93919.71306077077,56945.34524901186,14502.408749258891,0
1946,51.54139740684288,33.81897249520751,32.44112179909338,58.93785657272728,0.0135328465882658,0.0002174826533344,0.0014348222645009,0.0097066871113142,30.298309026679863,-32.52399554100788,-7.101360832509859,19.293597035573143,2.037975596571433,16.503257154209695,10.627659105533349,3.2619794611971344,-0.0756873764172589,-0.0066825024483522,0.0283891814682818,0.0015194350297569,1.1763473940928608,3.1280614919745404,-0.2949499934612277,1.4794284989108448,530.3634858121295,94263.03921195652,57048.30648320158,14501.145322134387,0
1947,48.9025050111166,36.93877469110672,29.54644087489377,57.68811212092391,0.0138736405247529,0.0002527171500767,0.0013487916998428,0.0100519633628705,31.60643364871544,-32.10193926630433,-6.533924933300372,20.35567743083006,2.282862861804002,15.75022410501082,10.699037254352769,3.9387428826561193,-0.0865520422216859,-0.0233468208046553,-0.00011017570767,-0.0161859566438414,2.0633623624514725,3.970781575701457,-0.2666844601310771,1.6359550238907117,482.9221231675272,94404.3856299407,57123.06520009882,14513.929308547433,13
1948,59.59858512524704,55.3361576444417,40.63606808342515,63.39220434271245,0.0145675448518774,0.0003402430021082,0.0017437600966131,0.0103461181732065,29.078308507905163,-34.24301344861658,-8.098912791501952,19.054254382411088,1.292482475539128,15.031563390754696,9.824076788722207,3.6700631690958,-0.0605861462530607,-0.066202640557453,-0.0560503646993675,-0.0442861539006447,1.88777377874728,3.224611822788217,0.3767239264507658,2.8519144158006178,515.8160112184289,93935.9043305336,56935.7408527668,14458.875406126484,0
1949,74.45758572109685,58.88471639017786,52.11127978494071,74.85641247233201,0.0165198743505681,0.0003992011773698,0.0023953746178641,0.0115477596883893,26.993279184782637,-32.83599019515808,-7.180024441699582,18.131627349308324,1.014527708272016,11.544827881706698,8.301814367741143,4.087956265290069,-0.056288208403121,-0.0923676114691788,-0.0449745073160918,-0.0937306118685548,2.083258074993778,5.5502248889164525,2.1425603355149456,3.919337201765336,621.9225477126977,94211.460513834,57047.07220998024,14504.361761857708,0
