year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,57.90922845277361,41.73043466289355,39.209312920667166,66.32864594392804,0.0145971445835457,0.0002445184382205,0.0015871132604107,0.010394838054434,29.40781753748128,-34.59067914167914,-8.753062042728613,18.44969340329837,0.6060482006516117,24.93613875884595,14.631908679230884,4.939658332818216,-0.0218500329670892,-0.0056838994117897,0.0447902260980134,-0.0803944878762968,1.8718981199207645,3.2225428867246624,-0.4286453949021739,2.055080501562744,446.1065548976762,93660.36802286356,56768.46656071965,14388.040819340333,0
1941,54.84513540742129,35.42905039632684,33.75266239550225,67.0455904407796,0.0142801140850449,0.0001550096565371,0.0012370915097098,0.0110234793361319,30.145590633433304,-34.891225719640154,-9.361158294602676,19.13361640929537,0.8662355875353598,25.413047742828336,13.645312439998875,4.261432233948276,-0.0198890901832173,-0.1209157910957009,-0.079104329058913,-0.0939122568562143,1.4474301670186809,3.575411840635008,-0.3929481195618066,2.938159361104535,484.1441181604198,93628.99967203898,56835.88459707646,14464.15133395802,0
1942,42.22182687856072,33.26786063658171,29.364223561769865,63.00567622376312,0.0124338802977511,0.0001929963186591,0.0012551373329741,0.0108419419723013,32.670777350074985,-34.30493129310342,-8.377289246626663,20.01892038230887,1.3280664882347075,20.231016846563342,10.985914501308471,3.9104729709106447,-0.0305587391123313,-0.0051925773147683,0.025845047682133,-0.1325948446143253,1.5825636827676313,1.8815869894577213,-0.7709059917937781,2.614971341720641,382.9318878252999,93810.4412912294,56918.51689355322,14438.136963268364,21
1943,53.33074573200899,36.569535562398805,32.69767396941529,70.4961549047976,0.0138773548289355,0.0001742822727631,0.0012958007947612,0.0109218612147301,30.12977522113945,-35.326824340329814,-8.61466619565215,18.354090873313364,0.5722793615813718,15.998702351856446,10.008194526163791,3.431323378256897,-0.0229564599717709,-0.0265026643657421,0.0308044565029212,-0.1212644506795239,2.327767555908756,2.852375252296252,-2.0971874332489504,4.307670579324363,420.8169337801162,93629.54666416792,56777.1893332084,14380.812453335831,6
1944,39.28559014137931,35.57122630163043,27.107221102342574,61.15295267016492,0.0118253508452773,0.0001504930912616,0.0010680278787301,0.0102122797267241,32.46933193403301,-35.238821390554705,-8.446276128185884,19.38756479010497,1.360006671752586,21.04503581969865,12.5020007329003,3.856307497133809,-0.0196834189879568,0.0318472563105134,0.1032906783188662,-0.0972990258852087,1.7012932812926538,1.2402175119845578,-0.709882100374063,2.7092203384220688,469.3065799177489,93790.92857946026,56903.96379385308,14501.580855884557,12
1945,41.61276178736881,25.16784376726387,24.3939136113943,61.3491001757871,0.0121053916567841,0.0001163726766465,0.0008865330679981,0.010171750731859,32.124355704647705,-34.45716362443776,-8.653732679910023,19.340418414542757,0.9613433041391304,20.487887300850524,13.22868017127811,3.4652146224095204,-0.0230651345216296,0.0156547662035854,0.0543420195073699,-0.0607183188177736,1.891265038527811,2.791067187410869,-1.8486407273833056,3.032308228691829,439.8099426653524,93743.17837143928,56859.89856184408,14461.767207458772,15
1946,50.14235384523988,34.657969291229385,30.701258277173917,61.24132860326087,0.013322413928898,0.0002093925199531,0.0013248720613362,0.0099849840221514,30.67622643178413,-32.825671866566694,-7.381781619190383,19.09600177286359,0.970933117843366,18.55548481202275,12.297114201639433,3.685786149914955,-0.0259180833915929,-0.0157195135345127,0.0433754298907121,-0.0382402732991604,1.1604332648469269,2.6612236384840102,-0.9826871506234256,2.565871852962016,481.6409236493628,94128.07948088455,56964.58428748126,14461.554553598202,0
1947,42.22869708658171,38.11288690517241,26.679300449943774,60.89453596720389,0.0127788449092953,0.0002467231132203,0.0011867079996514,0.010780527683808,33.265128219640204,-32.586557837331306,-6.768556293103425,20.58400660794605,1.4115136598150675,17.974721417340703,12.230992421866045,4.474291622482571,-0.0273654861061774,-0.0333963566299684,0.0432829513848913,-0.1348440235383251,1.6902415833607425,4.295811446016342,-1.2330135028318516,2.8413136008131183,384.9821126590142,94263.21907046477,57046.764760119935,14468.309597451273,27
1948,54.01171819992504,51.26242439021739,35.844657992016494,65.97094811975262,0.0138855130511619,0.0002923003695131,0.001493210313573,0.010961585082871,30.138282619940053,-34.72936080209893,-8.282168939280337,19.19601937781112,0.4913813407290105,16.547990687858324,11.636998759202774,3.956721114552399,-0.025061925847079,-0.1148991099661338,-0.0632659333980907,-0.1285632077602886,2.1709030817529986,2.677699312572864,-1.079106453953411,3.389490153939768,427.99164064212897,93789.9951011994,56858.698941904055,14406.81810026237,8
1949,73.26857502211395,62.86996475014992,48.20583544991754,76.58057325524737,0.0164350070493628,0.0004183703146995,0.0022019252850074,0.011798787491979,27.06605577211397,-33.30088747001497,-7.28339183283356,18.04775882308848,0.0957882190318965,11.860198443431784,8.493923026068591,3.9968215464747376,-0.0244082182104104,-0.0947771907539666,-0.0303728932325858,-0.0514648807253748,1.802833442317991,4.94941454351949,0.5191639163383432,3.454133321642991,554.7379290736395,94088.1501817841,56972.28577436282,14439.191905734631,0
