year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,53.13415272255435,39.69390252096273,39.06099920006211,62.74356287977485,0.0140761544374223,0.000235874054572,0.001609319708986,0.0101579117652329,30.52274053183232,-34.13732438276396,-8.551582977484449,19.15583109472052,1.0244887206617237,24.018619718447205,13.520269974928958,4.292493238581522,-0.0234557190170159,-0.0569650682395225,-0.065117958916743,-0.0713955703136878,2.0671852049339674,2.673222837269604,-0.2151073193262422,1.3930930395037229,434.0393057288625,93782.09183618012,56844.090523291925,14417.579441770184,16
1941,52.17264504417702,30.97471165885093,32.38967621907609,60.7978934375,0.0144769026256987,0.0001376636991477,0.0011729207078536,0.0103846454456133,31.220959526397536,-34.519005912267055,-9.18415600543476,19.96990491459629,1.1789179735423136,25.31090212514414,12.659277722632211,3.9771724004308617,-0.0249786643464631,-0.0582219858791246,-0.0637127433685248,-0.1082789704065799,2.2240374542243013,3.1875738290602875,-0.5008704611600543,1.955537852964348,463.6991147900621,93756.37276785714,56908.13067158386,14484.259079192543,4
1942,40.06535405807453,31.410130481599374,29.55046498124224,57.03178781541149,0.0123908681840062,0.0001827157105368,0.0012685193452511,0.0102110301267857,33.41927959627332,-33.96398407608694,-8.28421727096271,20.77181503105592,1.8704923780199536,19.950099362795186,10.174539176520186,3.885269588949457,-0.0359683066389347,-0.0064567217696661,0.0047026834095069,-0.1990871505206863,2.5217639624540373,1.9901546421348604,-0.9369655162865684,2.1356260636190525,372.1169851013393,93910.74851708076,56980.26139518634,14456.98023136646,33
1943,51.05191501195652,33.18253757057453,32.17667122006987,60.52470024728261,0.0138519698782608,0.0001630698947666,0.0012889600616358,0.0097923479588897,30.83532753105592,-35.213957934782584,-8.582161731366437,19.360965667701887,1.2023210689213122,15.157354000980902,9.086584790966429,3.6323462797431096,-0.0244282402402717,0.0092041683993385,0.0423990153729697,-0.1008903786270702,3.499008440209146,2.3899511230362966,-2.462615048993692,3.84486095111605,397.2667103230978,93705.32647515528,56836.05673990683,14385.82573408385,6
1944,37.3195896738354,34.79486961267857,27.92129928068517,56.92358161743012,0.011654244317236,0.0001509799127203,0.0010893724274689,0.0097908553677018,33.13361031055903,-35.00409850931675,-8.353607449534138,20.06643961180127,2.062623586971933,20.126438837783795,11.885073743723447,3.7049256540050464,-0.0241145791516758,0.0003298631032841,0.054904231311967,-0.1606390562648369,2.1726158559319875,1.2323798904234782,-1.09648874019441,1.6831835173428185,464.5631773935559,93889.9431871118,56968.06062267081,14523.057570652174,37
1945,41.40314628524845,23.15696547036879,23.41068853511646,59.32800344584627,0.0123478566692546,0.0001117408749264,0.0008743471653357,0.0100887553966226,32.63343440605592,-34.243539871894384,-8.372526750776375,19.965372034161515,1.2486515656617625,19.36508949357143,12.286887205132958,3.350957004988704,-0.0292638370021816,0.0325470887075,0.0695812406129076,-0.128394535494302,2.707402509599379,2.0886602444852485,-2.3610135952383544,2.4720976437386257,429.2253338762508,93858.2006560559,56934.55204425466,14476.856426242235,30
1946,49.52665498858696,32.06242011517857,29.503568089006208,61.11150786587733,0.0136061253697204,0.0001903691488319,0.0012726571012993,0.0101109875007763,31.259635733695674,-32.70534004658383,-7.302661211180101,19.506442034161516,1.1894565837393634,17.35744545078909,11.226987544774843,3.2529275793010486,-0.0295622541264774,-0.0200930310927088,0.0293851299535986,-0.0512729164958385,1.856121465088781,2.5347968180892586,-1.3515442318453028,1.864194882306871,475.70585485177793,94212.0872515528,57029.28298835404,14480.947561335402,3
1947,39.90132077053572,35.832969571739135,27.78366076774068,56.04556195729814,0.0125399473721273,0.0002233621682152,0.0012355088782263,0.0102411151691381,33.92363208462736,-32.554324204192525,-6.734295539596252,21.280987274844744,2.0058297352422363,16.312830724398292,11.4587081773882,4.407488023284938,-0.0312442349934743,-0.0301842703085054,0.0223667873258734,-0.1745178034823951,2.5031166314447204,4.557446950400097,-1.278334008243944,2.276506030942927,379.836896073988,94339.88484472052,57112.422616459626,14489.350676242237,49
1948,52.69229681327639,48.93067238039596,37.0279216053882,60.668278015527946,0.0141183389611024,0.0002718026716013,0.0014996174163633,0.0104654828223602,30.84716886645965,-34.61255909549687,-8.275382981366437,20.02810147903729,0.8642011609011491,15.501071449159898,10.676593591952251,4.003340038044371,-0.027849986681826,-0.1093958655144487,-0.1088216675966925,-0.169627792276017,2.724134077923525,2.3728423994224768,-1.3371283698328416,2.8580435036374223,410.8057505293866,93873.26388198756,56922.632245341614,14422.157745729814,14
1949,70.60105824068323,62.52360724340062,45.665262179440994,73.83179308734472,0.0166226622298913,0.0004181503964724,0.0020457028106991,0.0117158684198369,27.897536036490703,-33.24389037267078,-7.261276451863331,18.60606204192549,0.4509121203035326,11.344782623570264,8.095321442638276,3.8334401029871503,-0.0281038550805411,-0.0672000651400931,0.0164709517271911,-0.0320361740124883,2.134192377562849,5.036484640464441,0.2921238257410132,2.498863527943323,540.4043511919566,94135.104685559,57018.27636723602,14457.759100931677,0
