year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,60.982369528428094,41.71155813269231,36.73110764485033,66.8032595409699,0.014446052363127,0.0002285546420163,0.0014492424400878,0.0100658189552257,28.17949447324417,-35.2013962876254,-9.067881496655495,17.866410944816074,-0.1774348511209866,25.77390888226589,15.454367108561872,5.083815671408361,-0.0327545257010928,0.0084972439133361,0.1059836474465259,-0.0670986500470317,1.297184105883194,3.4172124731025084,-0.7537526938003345,2.350205182626254,451.09717025188127,93489.43925167224,56671.68896153846,14341.506318561873,0
1941,58.18156883319398,34.06576273553512,31.303612324498328,69.68079850083612,0.0140357738628762,0.0001405774249201,0.001161332458724,0.0109951611009197,28.82385253344484,-35.59289413043476,-9.62854058528426,18.438545602006712,0.1716903389901337,25.151453675359534,14.807697807149664,4.347741566486622,-0.0285386608085735,0.0263972220792725,0.058811191358612,-0.0408186464646321,0.846636437391806,3.36541120411204,-0.4369523903503344,3.082570272805184,497.9976998331522,93446.79776337792,56742.46691889632,14424.490759197324,0
1942,47.238461508361205,32.27264924882943,28.833368163026755,65.49032793143813,0.0128848848267558,0.0001733948919682,0.0012027516193979,0.010799453330602,31.230054489966577,-34.90474612040131,-8.616132165551816,19.294357299331125,0.7418297724837792,19.708702600069145,11.567365252275083,3.87386975167199,-0.0395379847716806,0.024849826237709,0.0718122740531856,0.0094149801556103,0.8991042938158027,1.6528276498535115,-0.6994231642901337,2.604571503021338,401.134827122199,93674.57308110368,56841.04208528429,14403.47027257525,14
1943,61.44182586371237,38.10176096638796,32.96408830844482,75.97425936622074,0.0144892659492474,0.0001725676665179,0.0012966062403545,0.0112434959799331,28.15954478260872,-35.664136178929745,-8.766329096989944,17.535428695652197,-0.7738677823951504,16.98192666826923,11.248840091053513,3.2868211576956523,-0.0248731546161755,-0.0004158929522658,0.0389833574958193,-0.0905948373400752,0.947452773035368,3.3314092212541806,-1.770606953887403,4.279260028283445,451.93242299515055,93509.19565217392,56703.87351755853,14344.552841555183,0
1944,43.09766644080268,34.34620508857859,25.394566976546823,59.64246692265886,0.0120091323453177,0.0001427759721831,0.0009812542613612,0.0097291672654682,31.32921383779267,-35.69364137959864,-8.74677214882941,19.00907489130437,0.6920110907909699,22.010223532686457,13.316322186721823,3.966718270055184,-0.0306815303758235,0.0887314060407274,0.1140384617239883,-0.0336862306787951,0.989883015625,0.9275881661321068,-0.6273759724448161,3.1388189771709865,474.0317525570234,93640.45476588629,56820.35814715719,14462.691245401338,0
1945,44.14012081705685,23.154101386413046,23.440111671153847,60.96530410518395,0.0119911338685618,0.0001004929381638,0.0008301837287926,0.0098361118827424,30.98691439799333,-34.907849983277565,-9.022408520066868,18.81352272575253,0.083882244818311,22.045123537341137,14.637645757831104,3.209020698120736,-0.0353049322859372,0.0395946009659448,0.08340109253551,-0.0535446857614046,1.073881409085535,2.654440054041472,-1.5449487002222406,3.322278790949749,449.4490593876087,93577.19236204014,56764.01075334448,14426.8075430602,10
1946,52.95748174423077,32.88990071460702,30.98360677299331,62.49354426839465,0.0131898268719063,0.0001959889739172,0.001298525669066,0.0099010004721571,29.58558919732444,-33.07333744147155,-7.606611488294291,18.5501695317726,0.5340154386081103,20.121386905167224,13.027481125970736,3.426086996752592,-0.0341051813132608,-0.0199440882298494,0.0019244565293896,0.0026946356761454,0.75490225590301,2.769014933853679,-1.1950773326262545,2.7355058870636286,491.58998875944815,93992.55191053513,56876.188514214045,14430.355520903013,0
1947,47.69573099506689,38.810208820401336,26.274958930785957,60.91701828344482,0.0133689958264214,0.0002407292732717,0.0011578959081371,0.0103764738291806,31.77197451505019,-32.90484436454847,-7.045077892976566,19.957628026755877,0.6036999415036789,19.8318822489847,12.899329519757526,4.403407386886288,-0.0393894612009699,0.0131915857548076,0.0846150391892057,-0.02943318339551,1.1113882156897827,3.9281982238804334,-1.4765876797380435,2.8949882430374583,396.9323706770485,94136.95113712376,56960.63010869565,14427.32954180602,14
1948,54.99086243929765,47.37295625125418,35.1412814812709,68.33170981103679,0.0134068984659699,0.0002619896688423,0.001458873569178,0.0110447155453177,29.411847667224105,-35.089871446488274,-8.486913035117032,18.715671321070257,-0.1446416454456521,17.572372884058527,12.45105121389632,3.782963434019231,-0.033493143257663,-0.0147303561480936,0.0183564317203762,-0.1104954499924749,1.142897946370652,2.173879347422408,-0.8983808438386288,3.593064572919565,429.3261678553512,93659.2645986622,56773.44479013378,14375.61833235786,0
1949,75.43700617892976,60.99670108277592,45.85748677608696,80.15238364130435,0.0160897120066889,0.0003936423207236,0.0021234339891688,0.0119271087021739,26.174666797658883,-33.54786253344479,-7.343998578595295,17.451201304347848,-0.7551320716182274,12.486445023923077,8.152668933829432,2.7141322320653845,-0.0298217993387261,-0.0662958969031321,-0.0236183192154765,-0.0829542137283361,1.122165158423662,4.292125406046154,0.2081788146383779,3.38004571794607,562.6439627036789,94002.92491220737,56910.007158862885,14408.025218645484,0
