year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,55.23438387771739,40.79532516546195,31.904705845759963,68.94333827912138,0.0132079734287137,0.0001978393681981,0.0011374678560826,0.0100078081675407,28.44850802536234,-35.859569175724616,-9.644452355072442,17.33634999547104,0.1289771809181612,26.15260275932971,15.297995852595562,4.366563819439448,-0.0317460592463405,0.0280047465358808,0.1250087246447418,-0.1065014789090126,0.7149054485417301,3.521042857396739,-1.0617916841147192,1.6649203097607337,415.42866167044383,93299.62310235508,56584.33686775363,14298.762323822464,3
1941,53.85996288405797,30.42217976535326,28.55732687391304,68.10173258922102,0.0131050205920742,0.0001084039260973,0.0010278036364465,0.0103547654380887,28.933833260869587,-36.69385331974635,-10.002234116847802,17.97204971014495,0.031463733248596,23.681979676897644,14.881649407057338,3.678841911095426,-0.0237373476315778,0.1084809716647975,0.1096327234280797,-0.0615824477850951,0.6482781677308062,2.104966981234329,-0.5420891590964311,1.7183824069902265,472.6675499694294,93256.26992753622,56661.03810235507,14380.615275815217,0
1942,44.83283187137681,28.583910879175725,25.875619881617755,65.36945000769929,0.0123393810052083,0.0001352804300851,0.0010422882352038,0.0105640805519021,31.160649673913067,-35.56979522192027,-8.868339470108673,18.972950027173937,0.1378832262798913,19.152543112980077,11.754016043769926,2.7881216545354937,-0.0345849852738278,0.0630942289977717,0.0933236454552038,-0.0547563340697644,0.6283799317756794,0.7907506340179801,-0.7385179804504529,1.9459758709798465,378.145056786173,93547.69222826089,56779.64027717391,14368.52398460145,13
1943,67.42980649637681,34.97944232155797,30.131884363541666,80.16772193161232,0.0145527039319746,0.0001475994600667,0.0011380352472427,0.0114295820723279,26.33878354166669,-36.31510144927534,-9.068701127717368,16.883745307971036,-2.10192218906875,18.13226489533424,12.308065832694746,2.0358182962985056,-0.0272152596615466,0.0807186139519882,0.0867966500323962,-0.0458843397621286,-0.0533918856167572,3.0470485409416668,-1.1549110414873234,3.134024799291132,467.4606720802083,93367.59963768117,56637.27128442029,14292.738543025363,0
1944,43.59097288052536,35.60628463825634,27.011602622261325,59.99864032291666,0.0116939669052083,0.000139048277641,0.0009826432932586,0.0095573386527173,30.69341484601452,-36.36741843297099,-9.268863328804326,18.589052943840603,0.3919235449685054,22.149715591273548,13.454495870211955,3.195617289744701,-0.0212685543422404,0.0783722193108197,0.1043251112770516,-0.0371587278300271,0.313811150651019,-0.0091081636968025,-1.1859569274346922,2.264351996397237,462.76433729530976,93483.37282608695,56745.87305797101,14422.557627264492,0
1945,40.44540328256341,20.325205365244564,23.420038607880432,58.65837998713768,0.0108460525031521,7.870777599139492e-05,0.0007868107107789,0.0092517208607971,30.941734211956543,-35.53597311141302,-9.580440063405774,18.677588125000025,0.0246978451425815,23.37841715427989,15.258970114959691,2.880457832664538,-0.0297949487229601,0.1133674608868052,0.1268551763849184,-0.0457447990580706,0.612772678925317,1.487174335334239,-1.5951994175052535,2.338703100719067,419.70186385176174,93390.73318387682,56680.03436503624,14386.746663043476,11
1946,50.23235787128623,28.053869487939316,27.145964397531703,61.81010987182972,0.0125541327335144,0.0001492059006471,0.0011331293818876,0.0095841013243659,29.66188706068843,-33.529198926630414,-8.07031510869563,18.31982084692031,0.2141304559927355,21.525517069837864,12.70352652364538,2.790634540557926,-0.0342930158086639,0.0819478623857744,0.096268422211105,-0.0501510164776041,0.7517105324800725,2.1304881832244567,-1.5215233499727807,1.840585458297038,465.8693267926857,93831.15266304348,56801.449897644925,14395.392841485507,0
1947,44.95124128686594,34.969293667889495,24.886045628858696,61.538522559465584,0.0125846743177083,0.0001924582987961,0.001068839667403,0.0101433227417119,31.540897640398573,-33.507313215579686,-7.463523677536209,19.533470919384083,-0.0177430408431521,21.54891384967821,13.068631991307972,3.0987030814232788,-0.0341263612107379,0.0472865760949778,0.0861325955935067,-0.0436862448339289,0.5711109327737998,3.606640516264176,-1.1280726562891032,2.002007303955299,374.7683380841576,93980.84652626811,56888.59580163044,14385.231741847829,15
1948,51.271098619384055,42.898268727101446,31.82635833460145,67.61788012952898,0.012509745125,0.0002074611541462,0.0012734371501231,0.0107187113783061,29.32603223278988,-35.62953995471012,-8.821163034420268,18.427747667572486,-0.4703242534397645,17.715165338604166,12.482473225250724,2.3470540237291213,-0.0335415861163858,0.0341745389736381,0.0673991493353034,-0.1011468055256567,0.5210166593995471,1.5295145851363223,-1.0808083895219205,2.247277082557156,406.4629868456703,93519.18776268116,56700.0593125,14337.21699456522,0
1949,71.76423381567028,52.76268991462862,41.59848332588315,82.26116147690217,0.0157997845153985,0.0003215730935738,0.0018892482747613,0.0119108829602355,26.56814765851452,-33.96966120471012,-7.531536240942006,17.00548217844205,-0.8181346401908062,13.02623926714923,7.430013844399004,0.6794332433588769,-0.0290545519059372,0.0044439771570108,-0.0033270344956793,-0.0711399643684542,0.7855913462511005,3.2670520852441123,-0.2908544126548007,1.8866302375471604,538.9003553156159,93900.70985507248,56859.105899456525,14379.4417807971,0
