year,rhum_P1000,rhum_P300,rhum_P500,rhum_P850,shum_P1000,shum_P300,shum_P500,shum_P850,temp_P1000,temp_P300,temp_P500,temp_P850,uwnd_P1000,uwnd_P300,uwnd_P500,uwnd_P850,vvel_P1000,vvel_P300,vvel_P500,vvel_P850,vwnd_P1000,vwnd_P300,vwnd_P500,vwnd_P850,zpt_P1000,zpt_P300,zpt_P500,zpt_P850,hwds
1940,67.6791456147343,44.88994743405797,39.70375802012681,70.15908658689614,0.015209722707971,0.0002498595668867,0.0016125373898659,0.010389605323913,27.107281998792292,-35.02560013888887,-8.849855434782585,17.475115863526593,0.4768264155346618,25.16077703614916,15.405064513623188,5.612780683977657,-0.0636210430605302,-0.0147775071886379,0.0602985776162922,-0.0511989465653743,0.5257342057205495,2.9540026748321258,-0.2303451371914855,3.111484911100423,495.3047366358031,93542.2004347826,56684.56354347826,14353.908591183575,0
1941,60.25164409178744,38.62735523460145,35.53778120131039,71.43916455012076,0.0142543005089371,0.0001729933804598,0.0013339029248925,0.0110717466857487,28.296684486715,-35.18180965579708,-9.446540458937177,18.150154909420312,0.9912085418873218,24.88535000465157,14.55395903007971,5.269362354519263,-0.0589505783744661,-0.086888195840628,-0.060699442947394,0.021353235872041,0.1533084086016304,3.496532868057367,0.3214477286858092,3.4312087478917874,532.723689807971,93508.07925724638,56752.58765700483,14439.142996980676,0
1942,49.93186982548309,36.55023660018116,30.94775155547101,68.48109313164251,0.0130562423056763,0.000215159441407,0.0013349824949371,0.0110466871815217,30.471412475845437,-34.63601046497582,-8.483178363526546,18.868095591787466,1.4964352848521136,19.921275598458333,11.59487291955918,4.808033707254589,-0.0867042173284963,-0.0433545851682729,-0.0140134581729251,0.0808735501904891,0.241398023709541,1.733083325786437,0.0468190192161835,2.939758396462681,432.9318355560084,93707.75880434785,56839.879935990335,14408.99382910628,5
1943,62.96908775603865,43.07841598994565,36.17275198466184,73.93700955978261,0.0146379030996376,0.0002013525741472,0.0014320466931316,0.0109237934621376,27.704852632850265,-35.44575250603862,-8.594311702898528,17.395693991545915,0.2745944023542874,16.50398314848732,10.297027609110508,4.5138584660769325,-0.0612868456200652,-0.006782340571099,0.0699967415894565,0.0224163587554966,-0.1556784038518719,3.3022250347258453,-0.942065531525936,4.004095394940822,491.2360915301932,93552.86141304349,56712.97848550724,14364.491694444445,0
1944,47.49260781195652,36.71967134116063,26.89859177634058,64.39263448067632,0.0123966618271135,0.0001652662435292,0.0010635718603792,0.0101109581900362,30.201125138888912,-35.45446678743959,-8.585950477053117,18.409011358695675,1.327720751783901,22.06802934702536,13.205876378971016,4.497287382253261,-0.0812042484977977,0.0461960033891062,0.0596632255317089,0.0613207966902173,0.4742342445507729,1.20872866353436,-0.0661558232422584,3.382526522798611,523.5950480832729,93677.9413647343,56827.17906642512,14474.368862922704,0
1945,49.593180395531405,27.8211523078744,24.55441092385265,62.08746194927536,0.0127470157573067,0.0001331998541385,0.0009051556236871,0.0097817060711352,29.75064662439616,-34.63718748792268,-8.87138762681157,18.44645750603867,0.748788123215157,21.53601639027416,13.877753675461411,4.479202982221135,-0.0797607196624764,0.0431386261175724,0.0747460984262319,0.1151756064399215,-0.002019559513285,3.351639712112621,-0.6683139339075724,3.48118834523128,499.7857259530797,93627.857089372,56777.188916666666,14437.475829710143,0
1946,53.285528599456526,35.61076421322464,33.462589174033816,61.05015324154589,0.0131442369336956,0.0002159138636651,0.0014324693470712,0.0096306491030193,29.238197638888916,-32.9437808574879,-7.54272703502413,18.43420963164253,1.2876571822841183,19.731118265391306,12.718050544611716,4.255040135090121,-0.0800868531751286,-0.0174338840173792,-0.0011997280635265,0.1282373856994323,0.0850193920324275,3.018447990259239,-0.078068736307971,2.6567878161908034,514.8676096840012,94029.3546557971,56890.512510869565,14438.92027958937,0
1947,50.39304727596618,40.69666158937198,29.3180916101407,65.29154723188405,0.0135682577938405,0.0002660123038484,0.0013158195426503,0.0108340672170289,30.93923280797104,-32.601104051932346,-6.94205283212558,19.431313822463792,1.3434711204510872,19.74803498670338,12.597226208149758,5.0232132069987925,-0.0884627984633997,-0.0254119710321678,0.0366387413394263,0.0275583317078466,0.36493447071093,3.3481899603219203,-0.5541390296897343,3.1704849708650364,442.7944745888044,94176.55550120772,56965.93928743961,14442.152975241546,10
1948,56.75908142620772,51.48749483254832,36.4429305330314,69.63949362922705,0.0135355820153985,0.0003032800206096,0.0015656215314722,0.0109662094240338,28.796590597826107,-34.817153411835726,-8.387707771739107,18.2900540277778,0.7246752574971015,17.286654316449276,11.89768331111232,4.600550425758032,-0.0692064440074601,-0.0030658255670893,0.0501040121705012,-0.0324623882877777,0.5554168995949879,2.981918656876812,0.2817248117470882,3.901907735472162,471.6106696468599,93702.05453502416,56783.2886678744,14389.959521739129,0
1949,74.28346978140097,61.15290741274155,49.601920113103866,79.40038246557971,0.0158001137201086,0.0003968519579,0.0022828755645803,0.0117295401625603,26.206285066425146,-33.2934814311594,-7.327811068840557,17.394399275362343,0.2352920564344806,12.63878630577355,8.738639739136293,3.833958923337138,-0.0633146429290157,-0.0354932494176268,-0.0026002703123007,-0.091738297963128,0.6072503069769662,4.710624636593599,1.674580222841244,4.071072881137077,587.8090967391304,94043.69823067634,56923.42945772946,14430.324102657003,0
1950,61.86147137620773,44.16264286714976,42.08555636557971,67.46903992934783,0.0149240869786231,0.0002591250445323,0.0017196490153888,0.0103897741301932,28.4160609661836,-33.10846645531399,-7.846362385265677,18.08379537439616,1.1240677581293477,20.99359569163044,12.263766000664251,5.215831223355676,-0.0828254003683236,-0.0187284115921612,0.0182334593953623,0.0364299683514311,0.5816204953927536,6.270081010862561,1.429948814281401,2.7519269531728865,486.3695953417874,93929.01435990338,56843.61726086956,14391.936436594204,0
1951,64.53984088285024,49.66206554504832,38.88370166050725,72.70416633816424,0.0146016485241545,0.0002624137019275,0.0015701981198315,0.010915327703442,27.602595567632875,-34.269396594202874,-8.293309849033793,17.65954396739133,0.7526933229112923,22.839851768146136,14.537939038274155,6.113096821280193,-0.0702512690588164,-0.0553612812682186,-0.0156885067105676,-0.0565324939078683,0.7811789026590308,5.390205402905194,1.133538031086594,3.010923045410749,532.5733853725845,93746.85773550723,56784.23629589372,14408.907190217393,0
1952,65.35899051630435,50.5401959830314,43.82867776551932,72.32403416364734,0.0149023394664251,0.0003025140667386,0.0018927726788683,0.0107575455213768,27.33681521135268,-34.02103647342993,-8.33272294685988,17.44554505434785,0.7102154529700242,15.066759144185388,10.35926713388104,4.227959474122403,-0.0713431098426491,-0.0190663716987258,0.0348595469263224,0.0384383099240036,0.4365434690362922,7.858185920136473,2.605815900960749,2.682534754701087,541.3145422047102,93781.3551268116,56791.13546859903,14406.567485507248,0
1953,77.8019539897343,71.5398974647343,50.46342949565217,77.73765814009661,0.0160265866923309,0.0003881914024468,0.0020740803272463,0.01156815367657,25.648973291062823,-34.471975066425095,-8.19721792270529,17.698151225845436,0.096660356765942,10.98102338216727,10.255494471717997,5.384651663091788,-0.046832381869339,-0.0748586521303907,-0.002084019406256,-0.1096348189308756,0.4089790379934783,6.943478287041063,1.269615304724879,3.6072627484754234,537.1036423369566,93759.52928140096,56798.99003502415,14375.584685386471,0
1954,56.43533053321256,42.0744964692029,33.57621767126812,69.14361504166666,0.0141366566346618,0.0002386740186811,0.0014784500298466,0.011191726970169,29.498884679951715,-34.08511229468596,-7.636933955313987,18.82649079710147,0.5985221116955314,20.536904180560388,14.113406712654228,4.675882107094203,-0.0712734028689468,-0.0475353411084432,0.0380398317688677,-0.0156976982189613,0.6147754689104469,4.312610703625905,-0.1637349018905193,3.910194044633636,425.47659305803137,93898.11852657003,56896.33549033816,14377.77695652174,0
1955,51.69111638617149,38.52761536328502,29.75007919468599,60.60913098611111,0.0133533007573067,0.0001894347536485,0.0011632751698248,0.0099144925567391,30.13720666666669,-34.94396736714974,-8.44015640096616,19.24192141908215,0.5379147190519323,21.618499966191425,15.148157167958937,4.905505968716788,-0.079075392913541,-0.0240816078248731,0.0008112285196316,0.0507327701125301,0.5003276209523551,3.992385345127416,-0.5090972247855072,3.581869374844445,390.9955259989288,93688.53882246376,56814.55683816425,14360.588139492753,0
1956,52.96302470410628,33.856827046135265,33.641697440157,65.36551907125605,0.0138620452326086,0.0002429723653128,0.0016121955473055,0.0107806455894323,30.50585379227056,-33.08476967995167,-7.216569547101426,19.40194881642514,0.5262589014756038,19.011150006991727,11.447041874982489,4.254030439320894,-0.0760990018531678,-0.0018613626802657,0.0469195266665652,0.0114220469717451,0.2307753073018116,1.2806674447826087,-0.3543299105605676,4.177724459370894,300.04797284317635,93970.15875,56866.56534178744,14287.532266908212,10
1957,37.60150427820048,37.05736411159421,29.76951448242753,55.187841274758455,0.0108516732002415,0.0001688630030452,0.0011381031618025,0.0095150596982487,32.26947094806766,-35.55964695048307,-8.69466117753621,19.77833003019326,1.76675816783436,26.14033266629831,17.237207933747584,5.664369693336051,-0.0949992338613852,-0.0118727129774033,0.0297531260984239,-0.1141831867138466,0.5886178504106281,-0.0669924529600241,-1.7664544778066424,3.783705408876812,386.4081718292814,93625.91656400968,56812.863420289854,14414.971080917874,26
1958,60.87308209601449,31.099850570108696,25.10573013764493,65.41032227173913,0.0153784432158212,0.0001882103956488,0.0010960507122397,0.0109504376869565,29.467999704106305,-32.97341863526568,-7.2753006582125375,19.422660114734324,0.5862063713805314,23.444164488250003,14.52896722307971,5.544984864145893,-0.061090192861939,-0.0786995623706564,-0.0543100251608031,-0.0673379560507065,0.7016552175952898,3.2967193716929346,-0.0830028040367753,4.354659133501811,465.6254099230677,94115.6112258454,56993.86159299516,14435.07359541063,0
1959,63.49796734178744,35.11943072210145,26.766096348985503,73.50659575966183,0.0149499165658816,0.0002108786952807,0.001201966730625,0.0114181001960144,28.195144921497608,-33.22173808574877,-7.168264070048287,18.146982548309204,0.0157956844799516,24.748183696376813,15.204037099574878,4.708100420865942,-0.0641343062976612,-0.0592036466947572,-0.0440188867005374,-0.0753901739696256,0.5140512430896872,-1.0722772289380436,-1.8635865872108692,4.313629315270954,449.5867708109299,93970.1763768116,56859.45061352658,14359.061160024154,0
1960,45.65312055766909,31.306764647403384,29.08703375108696,62.74819946980677,0.012619867242512,0.0001918164822506,0.0012789967299541,0.0102797806571859,31.14497523550727,-33.54061769323669,-7.639095537439591,19.10458507246379,1.6962406684638889,23.920306640859664,14.786148835166063,5.148097943371799,-0.0921326593009686,0.0001889497247644,0.0407711411958635,-0.020676285932971,0.7919084112014094,2.330203561863406,-0.3217221311509661,3.601057933444263,347.79971771510264,93876.01359299516,56841.394328502414,14339.037333333334,20
1961,67.49824720591788,36.55246658448068,29.918042540157003,73.77407313164251,0.0161102672633454,0.0002055139087249,0.0013936743487016,0.011653059652657,28.231083653381667,-33.6467268780193,-6.948125911835726,18.50791743961355,0.0137643851767512,23.69318006351751,16.217053878045288,5.539264344899155,-0.0573124229082608,-0.0405883960105012,-0.0643203706666123,-0.19509531544325,0.5803369543262682,1.1332575824842996,-1.490346343528158,4.633027871980072,400.5645146498672,93965.54067632851,56851.92915458938,14322.095217391305,0
1962,52.897728282608696,37.713293618795895,29.167684265778988,65.17748786533816,0.0134768166750603,0.0002188845401419,0.0012100837884764,0.0103509930808574,29.67063341787442,-33.692400507246354,-7.892657657004808,18.566428339372003,1.2155596240507247,27.604192102355075,16.073246137194083,5.056185758743358,-0.0897881270681014,-0.0076392860552379,0.0132568699922324,0.0247969904082478,0.3690260725455918,2.7610778403441425,-0.5833510612625604,3.503892539463768,417.7470001521135,93815.76101449276,56800.46885144928,14361.53327415459,0
1963,54.326698292814015,37.27970889402174,35.11543503677536,67.98688760024154,0.0131261168806159,0.0002005386252134,0.0013915914875501,0.0103058621191425,28.914684492753647,-34.59966010265698,-8.708624039855048,17.890374076086978,0.870590744587017,22.297180803614737,13.242051399208936,4.301698876462862,-0.0824569607173695,-0.0048406412010461,0.0015698941694323,-0.0005951478088079,0.5540444020753261,2.1598001366194444,0.2711602934295289,2.840865091548611,463.4425438214976,93584.5331099034,56698.77302294686,14373.048597826088,0
1964,60.377142685688405,27.35705148861715,25.58159194218599,70.1505340839372,0.0148330908320048,0.0001525588962907,0.0011000641961316,0.0112830481254227,29.11298067632853,-32.96313837560385,-7.547349227053116,18.90560848429954,0.3216903070044082,22.714060574487924,13.641170175240338,5.000226718051932,-0.0756453650792029,-0.0422986246388502,-0.0348847337168176,-0.0012019257974456,0.2879668512941425,0.7087958950525362,-1.8304417176489731,4.130544379632548,439.3983911297887,93965.50923309178,56878.326602657005,14386.367625603863,0
1965,55.08005329830918,29.513772386231885,28.0915882200785,67.55575706038647,0.0139677029835748,0.0001704719494836,0.0011992726538309,0.0105534923086352,29.26328089371983,-33.55749865942027,-7.970995458937175,18.134538285024178,1.088293010485145,25.14184324547101,15.348596088547104,5.158072245013527,-0.0904251849899257,0.014560617600926,0.0374064711537379,0.0228133513517753,0.4180966811160024,2.0083930750547103,-0.9058098291308936,3.05136115944221,447.90472192892514,93794.77935386474,56777.15373913043,14374.461069444444,0
1966,53.90521935990338,26.68025648876812,24.22998947977053,64.04155437016908,0.0144747419111111,0.0001511754776419,0.0010895266080815,0.0106449099701086,30.29657745772949,-33.05813397342993,-6.658493532608673,19.3060814130435,0.91436594341564,24.428580788707727,14.387918761618357,5.763626085230072,-0.0852533009319921,-0.0328269878442391,0.00379215496657,-0.0086505690543478,0.7055288857368357,1.1645098558205915,-1.9011714052920048,3.8304717947578495,365.83046547667874,94098.14074275362,56940.00573671498,14345.385096618356,0
1967,61.50336069927536,42.95103400102657,30.775991142065216,68.36551930374397,0.0138539358644927,0.0002206507007711,0.0011869148837101,0.010082052986413,27.441307451690847,-34.11563253623186,-8.202348484299494,17.41072855072466,0.4793391220242511,23.42600338761715,15.495464700374034,4.654171194130435,-0.0819534656955857,-0.0393777077704468,-0.0421797691263647,0.0112700208673369,0.5431758295104107,0.798314487727053,-1.6222839555664252,3.0650991044469205,464.9015227605375,93632.84893115945,56675.29210628019,14326.116903381642,0
1968,59.779390429649766,38.057994658333335,27.630444134740337,68.30978048188406,0.0140732014175724,0.000195605481749,0.0011413523410326,0.01058894782657,28.30418912439616,-34.094962192028966,-7.963221249999978,18.178126376811612,0.3610769455217391,23.916292437726025,15.772237521782609,5.139211499207729,-0.0705468239816485,-0.0544716151115338,-0.0178564838820893,-0.0317017122330917,0.410339172447041,0.9273920647747584,-1.6709105130936657,3.77714929145596,457.2729092164372,93777.63722222224,56770.46160144928,14363.639563405795,0
1969,56.40071596678744,27.691299774758452,24.70355325357488,65.5008157883454,0.0146002191815217,0.0001502600177155,0.0011080929682626,0.0104529032134661,29.719667995169104,-33.91096442028983,-7.4543990821255806,18.80840054951693,0.957965279579849,23.231143810841782,13.266605818375604,4.462574500638828,-0.085495810601564,-0.0005781352562614,0.024205705520256,0.0796340007014009,0.3895984782619565,3.045536404007971,0.0292903681340277,2.829559861070592,507.1828906144928,94009.21829710146,56978.325559178746,14460.37577536232,0
